"ID";"DutchEconomy";"Periods";"CO2_1";"N2O_2";"CH4_3";"GreenhouseGasEquivalents_4";"NOx_5";"SO2_6";"NH3_7";"AcidificationEquivalents_8";"CFK12Equivalents_9";"CO_10";"NMVOC_11";"PM10_12"
"228";"305700 ";"2015JJ00";"    2082";"     0.0";"    26.4";"    2752";"     6.0";"     0.2";"     0.0";"     0.1";"     0.0";"     0.5";"     6.2";"     0.0"
"229";"305700 ";"2016JJ00";"    1883";"     0.0";"    24.6";"    2507";"     4.5";"     0.1";"     0.0";"     0.1";"     0.0";"     0.5";"     5.3";"     0.0"
"230";"305700 ";"2017JJ00";"    1921";"     0.0";"    21.2";"    2463";"     4.1";"     0.2";"     0.0";"     0.1";"     0.0";"     0.6";"     4.7";"     0.0"
"231";"305700 ";"2018JJ00";"    1919";"     0.0";"    21.1";"    2458";"     4.1";"     0.2";"     0.0";"     0.1";"     0.0";"     0.6";"     4.7";"     0.0"
"232";"307500 ";"1990JJ00";"   52513";"    23.9";"    15.2";"   68289";"   109.7";"   118.6";"     4.6";"     6.4";"  3419.5";"   296.9";"   153.9";"    34.1"
"233";"307500 ";"1991JJ00";"   54802";"    23.9";"    15.4";"   69181";"   101.6";"    98.0";"     4.8";"     5.6";"  2810.2";"   288.7";"   144.0";"    31.6"
"234";"307500 ";"1992JJ00";"   55588";"    24.0";"    15.5";"   71061";"    98.8";"    97.0";"     4.9";"     5.5";"  2201.0";"   279.8";"   133.9";"    29.1"
"235";"307500 ";"1993JJ00";"   51359";"    25.7";"    15.3";"   68021";"    92.0";"    96.6";"     4.4";"     5.3";"  1591.7";"   270.3";"   123.8";"    26.6"
"236";"307500 ";"1994JJ00";"   51550";"    25.2";"    15.3";"   69888";"    88.1";"    91.4";"     4.6";"     5.0";"   982.5";"   260.3";"   113.6";"    24.1"
"237";"307500 ";"1995JJ00";"   48208";"    23.9";"    15.2";"   65331";"    85.4";"    91.1";"     4.1";"     4.9";"   373.3";"   249.6";"   105.0";"    22.3"
"238";"307500 ";"1996JJ00";"   49357";"    23.9";"    15.4";"   68720";"    84.5";"    83.6";"     3.7";"     4.7";"   283.6";"   240.1";"    95.2";"    17.5"
"239";"307500 ";"1997JJ00";"   48834";"    23.8";"    15.4";"   68972";"    77.3";"    79.6";"     3.4";"     4.4";"   194.0";"   213.0";"    84.8";"    14.8"
"240";"307500 ";"1998JJ00";"   48792";"    23.8";"    15.4";"   69701";"    66.2";"    71.0";"     3.1";"     3.8";"   102.6";"   213.3";"    82.5";"    13.8"
"241";"307500 ";"1999JJ00";"   47757";"    22.7";"    15.8";"   62550";"    60.3";"    63.4";"     2.8";"     3.5";"    52.0";"   199.4";"    77.5";"    13.0"
"242";"307500 ";"2000JJ00";"   47381";"    23.2";"    15.8";"   60357";"    56.2";"    46.9";"     2.7";"     2.8";"    41.9";"   196.4";"    76.2";"    13.4"
"243";"307500 ";"2001JJ00";"   47010";"    21.2";"    15.5";"   56773";"    57.0";"    50.3";"     2.8";"     3.0";"    34.3";"   195.0";"    61.8";"    12.6"
"244";"307500 ";"2002JJ00";"   46377";"    20.4";"    16.9";"   56586";"    55.6";"    45.5";"     2.5";"     2.8";"    19.2";"   184.0";"    58.7";"    12.8"
"245";"307500 ";"2003JJ00";"   47462";"    20.6";"    16.9";"   55823";"    54.6";"    41.7";"     2.6";"     2.6";"     0.1";"   176.6";"    54.8";"    11.7"
"246";"307500 ";"2004JJ00";"   47196";"    22.5";"    17.0";"   55687";"    55.0";"    47.7";"     3.2";"     2.9";"     0.1";"   201.7";"    53.1";"    11.1"
"247";"307500 ";"2005JJ00";"   47124";"    22.6";"    16.8";"   55436";"    53.8";"    47.4";"     2.4";"     2.8";"     0.0";"   188.8";"    55.4";"    10.2"
"248";"307500 ";"2006JJ00";"   46308";"    22.5";"    15.6";"   54691";"    52.5";"    47.9";"     2.3";"     2.8";"     0.0";"   195.2";"    51.0";"    10.1"
"249";"307500 ";"2007JJ00";"   47203";"    18.2";"    15.7";"   54371";"    50.5";"    45.6";"     2.0";"     2.6";"     0.0";"   187.8";"    50.0";"     9.7"
"250";"307500 ";"2008JJ00";"   46712";"     6.0";"    15.3";"   50152";"    49.3";"    40.3";"     2.1";"     2.5";"     0.0";"   190.5";"    48.1";"     9.0"
"251";"307500 ";"2009JJ00";"   42767";"     6.2";"    15.3";"   46240";"    42.1";"    28.0";"     1.9";"     1.9";"     0.0";"   151.3";"    42.3";"     8.1"
"252";"307500 ";"2010JJ00";"   45696";"     5.3";"    15.9";"   49278";"    42.6";"    24.9";"     1.8";"     1.8";"     0.0";"   158.8";"    49.4";"     8.1"
"253";"307500 ";"2011JJ00";"   45190";"     5.3";"    16.1";"   48401";"    42.1";"    25.3";"     2.0";"     1.8";"     0.0";"   147.3";"    47.2";"     7.9"
"254";"307500 ";"2012JJ00";"   44528";"     5.3";"    15.9";"   47683";"    39.6";"    24.3";"     1.7";"     1.7";"     0.0";"   138.8";"    47.1";"     7.4"
"255";"307500 ";"2013JJ00";"   43735";"     5.3";"    15.2";"   46680";"    37.0";"    18.7";"     1.5";"     1.5";"     0.0";"   125.1";"    42.4";"     7.4"
"256";"307500 ";"2014JJ00";"   43464";"     5.6";"    15.5";"   46150";"    35.6";"    19.3";"     1.4";"     1.5";"     0.0";"   124.5";"    41.8";"     7.3"
"257";"307500 ";"2015JJ00";"   44539";"     5.6";"    15.5";"   47360";"    34.6";"    20.4";"     1.4";"     1.5";"     0.0";"   129.9";"    39.9";"     7.3"
"258";"307500 ";"2016JJ00";"   45238";"     4.9";"    15.6";"   47898";"    34.3";"    20.1";"     1.7";"     1.5";"     0.0";"   125.9";"    35.8";"     7.4"
